"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","T_pumpB_out.T"
0,25.022953302085227,25.022953302085227,25.022953302085227,25.022953302085227,25.38110199976603
2,25.05284506392178,25.024710500643835,25.022958221317538,25.022866304214574,25.38123367748676
4,25.088675797149847,25.031387085267113,25.02304118994465,25.02240519206424,25.381316806919017
6,25.120440655454047,25.04194858601096,25.02327858146697,25.021671623164195,25.381554210050012
8,25.14879442645389,25.055281921865856,25.023723955396974,25.02094329671496,25.381999594640604
10,25.174445451527333,25.070555698758255,25.024417299632717,25.020401207275597,25.3826929546741
12,25.19794177815544,25.087147673066568,25.025385140611377,25.020066796410617,25.38366081727486
14,25.219704618358662,25.104593341049338,25.026640415164877,25.019869475330154,25.38491611941538
16,25.240058390388356,25.122547485764073,25.02818444787391,25.019730828236163,25.386460185907595
18,25.259253595652638,25.140755014804142,25.0300100320041,25.019603774183963,25.3882858096012
20,25.277484661119445,25.15902848437696,25.032105124540237,25.019479722218705,25.390380947295398
22,25.294890191113666,25.17722942537813,25.034459023479883,25.01935838096648,25.39273489674531
24,25.311613176808407,25.19526560857213,25.037046982584172,25.019244120437918,25.3953229111886
26,25.327732083344415,25.213066755250168,25.039856604148838,25.019136693458847,25.39813259265503
28,25.343320738476848,25.23058558284248,25.042870472617153,25.019031894504167,25.401146525219133
30,25.35843746255506,25.247791140754373,25.04607129258028,25.018924973431865,25.40434741310878
32,25.373129126699666,25.264664337775514,25.04944206993315,25.018812871584203,25.407718261862556
34,25.387433709440018,25.28119482551523,25.0529663806887,25.018694443879383,25.41124264714972
36,25.40138228206041,25.29737865775263,25.056628537341624,25.018569682923328,25.414904881137886
38,25.415000548309138,25.313216482999167,25.060413690436064,25.01843893129859,25.41869011406186
40,25.428310031880812,25.3287121961244,25.064307863533998,25.018302455764285,25.42258436919252
42,25.44132896115849,25.343871954160193,25.068297955160517,25.018160434696313,25.426574544783534
44,25.454072705493274,25.35870356980405,25.072371818728527,25.01801309651688,25.43064849399559
46,25.466554952777244,25.373215599782213,25.076518018617833,25.01786072980991,25.43479478097146
48,25.478787668862253,25.387417219295628,25.080725940031527,25.01770369436116,25.4390027906947
50,25.49078135572148,25.401317947635846,25.084985783042328,25.0175424072292,25.443262723035105
52,25.50254543573766,25.41492738171263,25.08928846177588,25.017377311364896,25.44756549193096
54,25.514088350426107,25.428255024896146,25.09362564300369,25.017208845624566,25.451902763981934
56,25.525417746371488,25.441310162010552,25.09798969224738,25.01703742137221,25.456266904551967
58,25.536540664948404,25.454101789118624,25.102373581365725,25.016863418537184,25.46065088535545
60,25.547463665248017,25.466638568313954,25.10677082683759,25.016687196967894,25.465048222738233
62,25.558192828281506,25.478928827317816,25.111175486495142,25.016509096791708,25.46945297440982
64,25.56873374344849,25.490980558253284,25.115582168562526,25.016329439892104,25.47385974848453
66,25.579091750262194,25.502801373067257,25.119985882154936,25.01614853732866,25.478263553974784
68,25.589271800061454,25.514398535494877,25.12438211837167,25.015966681331008,25.48265988188814
70,25.59927860172769,25.525778953610768,25.12876674546436,25.015784138064248,25.487044600391926
72,25.609116593753413,25.536949202287644,25.13313601478552,25.01560115185572,25.49141396076186
74,25.6187899893892,25.547915523506333,25.137486526262876,25.01541794215194,25.495764562856948
76,25.628302809099807,25.55868386719152,25.14181517535502,25.01523470981755,25.500093302072514
78,25.63765886464131,25.569259881246182,25.146119172611463,25.01505164047063,25.504397388901907
80,25.646861805417018,25.57964894496746,25.15039598545269,25.014868908323194,25.50867429071377
82,25.655915114856327,25.58985618427954,25.1546433312148,25.014686672604228,25.512921724799412
84,25.664822130090386,25.599886485817308,25.15885915253972,25.014505082138896,25.517137633758125
86,25.673586033127606,25.609744476943376,25.16304163771298,25.014324273059458,25.521320205839913
88,25.68220987494493,25.619434557535612,25.167189181046467,25.01414437157399,25.525467835324434
90,25.690696596664168,25.62896094957881,25.17130033378413,25.013965487828557,25.529579073427158
92,25.699049043360503,25.638327701454216,25.17537379082529,25.013787718957644,25.53365261502148
94,25.70726992694898,25.64753863737866,25.179408452392124,25.013611149829842,25.537687360307586
96,25.715361872329765,25.656597423342134,25.18340334515682,25.01343585122703,25.541682335939186
98,25.72332741526958,25.66550758066495,25.187357615492544,25.013261892732828,25.54563668827268
100,25.731169023661266,25.674272513108747,25.191270495127412,25.013089340587783,25.549549649021344
102,25.738889056942583,25.682895437578452,25.195141377917196,25.012918250610767,25.553420612029186
104,25.746489804276223,25.691379451972068,25.198969746192972,25.012748678477408,25.55724905961847
106,25.75397347767654,25.699727524779803,25.202755183878764,25.01258067347686,25.56103457570481
108,25.761342236983467,25.70794254088861,25.20649732848068,25.012414286108935,25.564776797788
110,25.768598167514085,25.71602725896622,25.210195914489475,25.0122495541994,25.568475460354477
112,25.77574330461715,25.723984357129382,25.213850726311705,25.012086500893872,25.572130347807445
114,25.782779622936744,25.7318164133614,25.217461618627624,25.01192514747987,25.575741314824313
116,25.789709035766748,25.739525902987964,25.221028518166293,25.011765504696825,25.579308288134598
118,25.79653340944384,25.747115226692983,25.22455139638913,25.011607583209127,25.58283123919898
120,25.803254552581336,25.754586690055874,25.2280302908851,25.011451406232084,25.58631020560881
122,25.809874230784033,25.76194253089278,25.231465276112942,25.011296990410017,25.589745261824646
124,25.816394162728045,25.769184912849994,25.23485647112335,25.01114435698554,25.59313652690065
126,25.822816021012443,25.77631592585982,25.238204039462346,25.01099351803424,25.596484164386766
128,25.829141442928915,25.783337607175497,25.241508168551093,25.010844472610472,25.599788361709216
130,25.83537202078213,25.79025192260491,25.24476908695823,25.010697221166026,25.603049347441925
132,25.84150931872665,25.797060798184305,25.247987033794118,25.0105517478965,25.6062673607006
134,25.847554857280613,25.80376609119122,25.25116228805524,25.010408046109717,25.609442680488655
136,25.85351013000519,25.810369621025472,25.25429513814248,25.010266115467232,25.61257559521283
138,25.859376591535636,25.8168731471946,25.257385902888302,25.010125949793462,25.61566642371372
140,25.865155669442004,25.823278391053975,25.260434911043546,25.009987556556155,25.618715494748585
142,25.870848756546422,25.82958702167508,25.263442516191787,25.009850931347557,25.621723161909983
144,25.87645722040537,25.835800673176834,25.266409081539734,25.009716064146517,25.624689788411956
146,25.881982379601766,25.84192090795051,25.269334995569636,25.009582944222927,25.62761576274528
148,25.887425546635257,25.847949282005686,25.27222064174856,25.009451550640108,25.630501468385773
150,25.892788025916445,25.8538873389669,25.275066410892634,25.009321873062106,25.633347296157865
152,25.898071068577053,25.85973654789467,25.27787271241135,25.009193896509657,25.636153655480598
154,25.903275936289504,25.86549839329797,25.28063994975929,25.009067609350097,25.638920949816907
156,25.908403810572224,25.87117424795082,25.28336855345566,25.008943001962336,25.64164960969532
158,25.913455881513926,25.87676549918757,25.286058943857654,25.008820059601987,25.64434005548219
160,25.918433212965112,25.882273362450803,25.2887115724198,25.008698765762745,25.64699273864204
162,25.923336997626677,25.887699227723544,25.291326861388427,25.008579107384037,25.649608081429847
164,25.928168389606014,25.89304443270879,25.293905241758864,25.008461070373585,25.652186514850825
166,25.93292849494975,25.898310253173975,25.29644714527859,25.008344638169262,25.65472847066144
168,25.93761839000996,25.903497926618172,25.298953004158932,25.008229792684176,25.657234381082333
170,25.94223924628733,25.908608813160356,25.301423249125662,25.00811652071883,25.659704676848264
172,25.94679219528058,25.913644221367292,25.30385831152961,25.008004807018608,25.66213978931978
174,25.951277894329507,25.91860483942179,25.30625866119084,25.007894627062626,25.664540188326782
176,25.955697588681403,25.923492124718052,25.30862472023324,25.007785967819075,25.66690629600214
178,25.96005233783802,25.928307291623526,25.310956925850576,25.007678812626466,25.669238549548822
180,25.964343038198137,25.933051346049012,25.31325571358792,25.007573143818774,25.671537384521457
182,25.968570570864188,25.937725274370734,25.3155215187939,25.007468943642095,25.673803236277877
184,25.972736021148933,25.942330323769568,25.317754779446716,25.007366195517022,25.676036542805434
186,25.9768403654528,25.94686760288431,25.319955930397043,25.00726488233414,25.678237738964413
188,25.980884273625463,25.951337838339725,25.32212537295169,25.00716498688206,25.680407226069747
190,25.984868817889776,25.95574225818467,25.324263552447007,25.007066492083652,25.682545449467625
192,25.988794934166606,25.960081920613618,25.326370899305232,25.006969380816315,25.684652839588978
194,25.99266339263187,25.96435768175928,25.328447812452794,25.006873635947784,25.68672979536916
196,25.996475014887267,25.968570460447893,25.33049470058876,25.006779240348976,25.688776725515368
198,26.000230751234596,25.97272133240591,25.332511996868163,25.00668617689786,25.69079406319213
200,26.003931462301978,25.976811264750893,25.33450011520773,25.00659442856096,25.692782222324865
202,26.007577840268198,25.98084102448462,25.336459421376446,25.00650397897931,25.694741568690347
204,26.01117076167594,25.984811597631563,25.33839033384055,25.006414811055095,25.696672520763343
206,26.014711024647056,25.988723877052564,25.340293248650426,25.006326908005406,25.698575474603103
208,26.018199414824323,25.992578740783813,25.342168558290098,25.006240253096678,25.70045082270144
210,26.02163670537078,25.99637705203594,25.344016651676327,25.00615482964548,25.702298953983643
212,26.02502365697086,26.00011965919458,25.34583791415895,25.00607062101875,25.704120253807616
214,26.02836100315193,26.003807379106604,25.347632721182492,25.005987611172202,25.70591509762579
216,26.031649426514093,26.007440970010578,25.349401428020713,25.00590578552334,25.707683840719028
218,26.034889670621,26.01102125895312,25.351144418096567,25.005825126842694,25.709426866518584
220,26.038082433837246,26.014549020895117,25.352862057136065,25.005745619152492,25.71114454075814
222,26.04122840074575,26.018025014490092,25.35455470673554,25.0056672465725,25.712837225041653
224,26.044328242148765,26.021449982083652,25.356222724362794,25.00558999332094,25.71450527684459
226,26.047382619485973,26.024824655613713,25.357866462633922,25.00551384383715,25.716149048790214
228,26.05039234607358,26.02814997187255,25.35948624296128,25.005438787319633,25.717768862297362
230,26.05335797913125,26.0314265278393,25.36108242223105,25.005364806247087,25.71936507426028
232,26.056280159087976,26.0346550336738,25.362655337348713,25.005291885925146,25.720938021591053
234,26.05915951494518,26.037836186369816,25.364205320705594,25.005220011822814,25.722488036688276
236,26.061996664276478,26.040970669755723,25.365732700179194,25.005149169573713,25.724015447436273
238,26.064792213227577,26.044059154493368,25.367237799133306,25.005079344975172,25.725520577205202
