"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC","T_pumpB_out.T"
0,25.022953302085227,25.022953302085227,25.022953302085227,25.022953302085227,25.022953302085227,25.022953302085227,25.381101990857985
2,25.080123332319374,25.025163970003348,25.02539139935726,25.02548939213392,25.022997275000023,25.02278014403845,25.38126794606842
4,25.14099262744395,25.032962690227066,25.03394341427412,25.034236441842665,25.02338926858789,25.021878314524145,25.381659949469736
6,25.187969005974367,25.044853100131547,25.0468915509893,25.047209665841535,25.024414289165463,25.02040200255584,25.382684992421673
8,25.224977339452323,25.05940270111188,25.062569569078335,25.062651668961905,25.02622022352938,25.018859390616115,25.38449096546276
10,25.255068003931513,25.07562734954712,25.079907416728076,25.07941686787143,25.028860928794018,25.017578063384065,25.38713172711914
12,25.280337423938192,25.09285936177224,25.098244544785018,25.09677329603568,25.032331717942668,25.016552201331763,25.39060258952361
14,25.30221344371688,25.110646284370603,25.11707986299274,25.114269779466383,25.036591243394867,25.01570874884038,25.39486220469655
16,25.32167740106678,25.128681549686405,25.136046686325756,25.13163290178403,25.04157615003743,25.014982910905644,25.399847216020248
18,25.339403151872773,25.146759527530833,25.154934748508538,25.14869835164012,25.047208040382486,25.014321947118162,25.40547922435246
20,25.355854995459197,25.16474322097082,25.17360985442025,25.16537611458517,25.05340575651968,25.013719622833776,25.411677070071732
22,25.371354128091127,25.1825425502372,25.191989011401404,25.181623810742792,25.060091038931603,25.013187950085864,25.418362492039932
24,25.38612405713326,25.200099482342864,25.210023486871876,25.197428885725856,25.067191133948143,25.012735881455058,25.425462735063945
26,25.400321097698736,25.217377992239392,25.227687487681067,25.21279652744164,25.074639597190696,25.012362366047512,25.432911353379666
28,25.41405547078358,25.234357044028286,25.24497031703828,25.227741780653844,25.08237638170698,25.012058177254346,25.4406482987863
30,25.42740546442866,25.25102581881964,25.261871112737765,25.242284651385773,25.09034765056134,25.01181571368403,25.44861973323134
32,25.44042717798419,25.26738040121353,25.27839525777648,25.256447170539502,25.098505628780742,25.01162705263488,25.456777880752497
34,25.453161172777016,25.283421506235356,25.29455196969974,25.27025158645023,25.106808178874132,25.011486909441885,25.465080602986063
36,25.46563710587776,25.299152892046493,25.310352663313154,25.283719397535776,25.115218448631992,25.011392058566287,25.47349104696127
38,25.477876954263536,25.314580265351367,25.325809861926302,25.29687078217313,25.123704386258567,25.011339017599028,25.481977160221504
40,25.489897263364867,25.329710522940616,25.340936476884906,25.30972429304876,25.132238187725818,25.011324242974126,25.490511138164948
42,25.501710697749388,25.344551231632238,25.35574534535789,25.322296803730126,25.140795811695796,25.01134455039113,25.499068938961386
