"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC"
0,25.022953302085227,25.022953302085227,25.022953302085227,25.022953302085227,25.022953302085227,25.022953302085227
2,25.07979425481716,25.025969469406334,25.026993109319335,25.023125109585692,25.02284071057619,25.022949707792975
4,25.139718285701235,25.03642311437585,25.040745284714546,25.024552457705397,25.022494366729404,25.022943595200047
6,25.184691663169076,25.051940914215777,25.06067812092914,25.028165578400774,25.02259087827821,25.022935619276325
8,25.2186288028725,25.070321409193355,25.08368918047853,25.03425806726699,25.023877161034704,25.022934057771238
10,25.24494512446671,25.090093278941538,25.107791491809337,25.042731623120005,25.026641842188553,25.022952422563606
12,25.26615998063454,25.110323546030088,25.13179608412605,25.053288000423493,25.030704446845164,25.02300434469447
14,25.28405660836478,25.130452312626687,25.15505051756844,25.06555140560687,25.03567534779239,25.023100527276313
16,25.29985114654386,25.150168296272966,25.177247217003185,25.079139261655826,25.041198440321125,25.023247533055894
18,25.31434787318159,25.169319190599538,25.198288893114466,25.093701152646815,25.047049763243137,25.023449019781026
20,25.328065351202156,25.187850364125154,25.218198903097402,25.10893589955134,25.05311910040183,25.023707195988266
22,25.34132918593008,25.205764204833315,25.237063577740685,25.12459613000891,25.059351946466393,25.024023192838342
24,25.354335542514434,25.223093936790917,25.25499653040464,25.14048596615038,25.065705926211706,25.02439791791852
26,25.367194289358565,25.239886902102114,25.272117048173584,25.15645513601379,25.072136678552,25.02483172546573
28,25.379958828518113,25.25619429625175,25.288537846537622,25.172391846585185,25.078601093617692,25.025324578837
30,25.392647324786537,25.272065207897583,25.304358853734072,25.18821546003022,25.085064245908995,25.025876033062957
32,25.405257713921003,25.287543573433993,25.319664906049354,25.203869804218527,25.091502053475153,25.02648536738451
34,25.41777782690673,25.302667014655583,25.334525819815042,25.219317362120876,25.097899478241914,25.027151675128323
36,25.430191675942694,25.317466811213137,25.348997764362423,25.234534506516127,25.104247014559917,25.027873943533052
38,25.44248321531444,25.33196842674687,25.363125161119513,25.249507573680546,25.110537742544977,25.028651085559602
40,25.45463798413556,25.346192361565897,25.37694276875237,25.264230029474277,25.116765934732427,25.02948197068605
42,25.466643860091665,25.360155008546087,25.390477577888817,25.278700186797607,25.122926856123797,25.030365425578736
